timestamp,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,spread,mid_price,imbalance,symbol,total_bid_vol,total_ask_vol,time_diff,book_pressure,mid_return,volume_at_best
2025-08-11 10:56:19.677243,5471.0,404,0,0,0,0,0,0,0,0,5471.5,86,0,0,0,0,0,0,0,0,0.5,5471.25,0.6489795918367347,WDOU25,404.0,86.0,,0.8244897959183674,,490
2025-08-11 10:56:19.728168,5471.0,404,0,0,0,0,0,0,0,0,5471.5,86,0,0,0,0,0,0,0,0,0.5,5471.25,0.6489795918367347,WDOU25,404.0,86.0,0.050925,0.8244897959183674,0.0,490
2025-08-11 10:56:19.778983,5471.0,404,0,0,0,0,0,0,0,0,5471.5,86,0,0,0,0,0,0,0,0,0.5,5471.25,0.6489795918367347,WDOU25,404.0,86.0,0.050815,0.8244897959183674,0.0,490
2025-08-11 10:56:19.831483,5471.0,404,0,0,0,0,0,0,0,0,5471.5,86,0,0,0,0,0,0,0,0,0.5,5471.25,0.6489795918367347,WDOU25,404.0,86.0,0.0525,0.8244897959183674,0.0,490
2025-08-11 10:56:19.882135,5471.0,404,0,0,0,0,0,0,0,0,5471.5,86,0,0,0,0,0,0,0,0,0.5,5471.25,0.6489795918367347,WDOU25,404.0,86.0,0.050652,0.8244897959183674,0.0,490
2025-08-11 10:56:19.932967,5471.0,404,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9056603773584906,WDOU25,404.0,20.0,0.050832,0.9528301886792453,0.0,424
2025-08-11 10:56:19.983448,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050481,0.9521531100478469,0.0,418
2025-08-11 10:56:20.034064,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050616,0.9521531100478469,0.0,418
2025-08-11 10:56:20.084623,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050559,0.9521531100478469,0.0,418
2025-08-11 10:56:20.135241,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050618,0.9521531100478469,0.0,418
2025-08-11 10:56:20.185853,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050612,0.9521531100478469,0.0,418
2025-08-11 10:56:20.236415,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050562,0.9521531100478469,0.0,418
2025-08-11 10:56:20.289977,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.053562,0.9521531100478469,0.0,418
2025-08-11 10:56:20.341061,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.051084,0.9521531100478469,0.0,418
2025-08-11 10:56:20.391994,5471.0,398,0,0,0,0,0,0,0,0,5471.5,20,0,0,0,0,0,0,0,0,0.5,5471.25,0.9043062200956936,WDOU25,398.0,20.0,0.050933,0.9521531100478469,0.0,418
